airport_ident,length_ft,surface,lighted,closed
0B2,1730,TURF-F,0,0
0B7,2575,ASPH-E,0,0
0C1,2375,ASPH-TRTD-P,1,0
0C2,2640,TURF-G,0,0
0C5,3800,TURF-G,1,0
0C7,3980,TURF-G,1,0
0C8,2831,TURF-G,1,0
0CA2,45,CONC,1,0
0CA3,2100,ASPH,0,0
0CA4,3600,TREATED,0,0
0CA5,1400,ASPH,0,0
0CA6,2400,ASPH,0,0
0CA9,3300,ASPH,0,0
0CD0,50,CONC,1,0
0CD1,45,MATS,1,0
0CD2,2500,TURF-P,0,0
0CD2,5000,TURF-F,0,0
0CD4,25,MATS,1,0
0CD5,4500,GRVL,0,0
0CD6,40,CONC,1,0
0CD7,956,TURF-G,0,0
0CD8,50,CONC-G,1,0
0CD9,50,CONC,0,0
0CL0,3720,DIRT,0,0
0CL1,3360,DIRT,0,0
0CL1,2040,DIRT,0,0
0CL3,1800,DIRT,0,0
0CL3,2400,DIRT,0,0
0CL4,50,CONC,0,0
0CL5,58,CONC,0,0
0CL6,1900,DIRT,0,0
0CL7,65,CONC,0,0
0CL8,3500,TURF,0,0
0CL8,80,SAND,0,0
0CL9,20,CONC,0,0
0CO0,100,TURF,0,0
0CO1,2500,TURF,0,0
0CO2,4000,ASPH,1,0
0CO4,120,CONC,0,0
0CO6,4500,TURF,0,0
0CO6,4000,TURF,0,0
0CO7,152,ASPH,0,0
0CO8,2000,DIRT,0,0
0CO9,2600,GRVL-DIRT,0,0
0CT0,36,CONC,0,0
0CT1,50,ASPH,0,0
0CT2,40,ASPH,0,0
0CT3,60,CONC,0,0
0CT5,50,CONC,0,0
0CT6,65,ASPH,0,0
0CT7,66,CONC,0,0
0CT8,60,ASPH,0,0
0CT9,60,CONC,0,0
0D7,1955,TURF-G,0,0
0.00E+00,3270,TURF-F,0,0
0.00E+00,3000,WATER,0,0
0FA0,200,TURF,0,0
0FA1,1800,TURF,0,0
0FA2,50,CONC,1,0
0FA3,20,CON,0,0
0FA6,45,Roof/Top,0,0
0FD0,4000,TURF,0,0
0FD1,50,ASPH,0,0
0FD2,48,CONC,0,0
0FD3,2100,TURF,0,0
0FD3,4000,TURF,0,0
0FD5,2100,TURF,0,0
0FD6,3000,WATER,0,0
0FD9,1975,TURF,0,0
0FL0,2300,TURF,0,0
0FL1,65,Deck,0,0
0FL2,2000,WATER,0,0
0FL3,60,CONC,1,0
0FL4,100,CONC,0,0
0FL5,2000,WATER,0,0
0FL6,500,TURF,0,0
0FL7,35,CONC,0,0
0FL8,2000,WATER,0,0
0FL9,3400,TURF,0,0
0FL9,2750,TURF,0,0
0G0,2830,ASPH-F,1,0
0G5,3000,WATER,0,0
0G5,15000,WATER,0,0
0GA0,2150,TURF,0,0
0GA1,2000,TURF,0,0
0GA2,2600,TURF,1,0
0GA3,2000,TURF,0,0
0GA5,100,TURF,0,0
0GA6,2100,TURF,0,0
0GA8,3000,TURF,0,0
0GA9,4400,TURF,0,0
0GE0,2000,TURF,0,0
0GE1,3000,GRVL-TRTD-P,0,0
0GE3,2000,TURF,0,0
0GE4,1045,TURF,0,0
0GE4,1000,TURF,0,0
0GE5,2500,TURF,0,0
0GE7,3000,TURF,0,0
0GE9,2000,TURF,0,0
0H7,2680,TURF-G,0,0
0I2,2941,ASPH-G,1,0
0IA0,65,CONC,0,0
