Locid,Airport Name,CY 23 Enplanements
CRG,Jacksonville Exec at Craig,253
LAL,Lakeland Linder International,224
TPF,Peter O Knight,223
SGJ,Northeast Florida Regional,216
F45,North Palm Beach County General Aviation,213
MCF,MacDill AFB,177
HST,Homestead ARB,168
FPR,Treasure Coast International,162
X44,Miami,150
MKY,Marco Island Exec,121
ISM,Kissimmee Gateway,119
FMY,Page Field,108
MTH,The Florida Keys Marathon International,93
OCF,Ocala International-Jim Taylor Field,82
SPG,Albert Whitted,70
VNC,Venice Municipal,70
COI,Merritt Island,63
OBE,Okeechobee County,62
FIN,Flagler Exec,59
FA54,Coral Creek,44
SEF,Sebring Regional,43
LNA,Palm Beach County Park,41
FHB,Fernandina Beach Municipal,39
CGC,Crystal River-Capt Tom Davis Field,31
LEE,Leesburg International,29
VDF,Tampa Exec,25
F47,St George Island,23
CLW,Clearwater Air Park,22
FD38,Wellington Aero Club,22
BOW,Bartow Exec,21
CTY,Cross City,17
AAF,Apalachicola Regional-Cleve Randolph Field,16
1FL,Fort Pierce,15
DED,DeLand Municipal-Sidney H Taylor Field,15
EVB,New Smyrna Beach Municipal,15
X14,La Belle Municipal,15
AVO,Avon Park Exec,14
CHN,Wauchula Municipal,13
TIX,Space Coast Regional,13
CEW,Bob Sikes,12
PMP,Pompano Beach Airpark,12
BKV,Brooksville-Tampa Bay Regional,10
GIF,Winter Haven Regional,10
PCM,Plant City,9
LCQ,Lake City Gateway,7
X39,Tampa North Aero Park,5
IMM,Immokalee Regional,4
HWO,North Perry,2
X01,Everglades Airpark,2
ATL,Hartsfield/Jackson Atlanta International,"50,950,068"
SAV,Savannah/Hilton Head International,"1,909,590"
AGS,Augusta Regional at Bush Field,"280,553"
CSG,Columbus,"65,701"
VLD,Valdosta Regional,"42,160"
BQK,Brunswick Golden Isles,"33,832"
ABY,Southwest Georgia Regional,"30,025"
MCN,Middle Georgia Regional,"15,832"
SVN,Hunter AAF,"9,844"
PDK,Dekalb-Peachtree,"2,216"
