23AZ,SMALL,Moreton Airpark,34.019500732421875,-112.8259964,North America,United States,Arizona,Wickenburg,4900,0
29AZ,SMALL,Paloma Ranch Airport,32.905602,-112.900002,North America,United States,Arizona,Paloma,5500,0
K40G,SMALL,Valle Airport,35.65060043,-112.1480026,North America,United States,Arizona,Grand Canyon,4199,0
57AZ,SMALL,La Cholla Airpark,32.446633,-111.002898,North America,United States,Arizona,Oro Valley,4500,0
5AZ3,SMALL,Pegasus Airpark,33.208666,-111.617221,North America,United States,Arizona,Queen Creek,5000,0
KA39,SMALL,Ak-Chin Regional Airport,32.990806,-111.918528,North America,United States,Arizona,Maricopa,4751,0
KAVQ,SMALL,Marana Regional Airport,32.409065,-111.216199,North America,United States,Arizona,Marana,6901,32
KAZC,SMALL,Colorado City Municipal Airport,36.95919,-113.013166,North America,United States,Arizona,Colorado City,6300,164
KBXK,SMALL,Buckeye Municipal Airport,33.422397,-112.686317,North America,United States,Arizona,Buckeye,5500,5
KCFT,SMALL,Greenlee County Airport,32.957039,-109.211397,North America,United States,Arizona,Clifton,4970,65
KCGZ,SMALL,Casa Grande Municipal Airport,32.954899,-111.766998,North America,United States,Arizona,Casa Grande,5200,4
KCHD,SMALL,Chandler Municipal Airport,33.2691,-111.810997,North America,United States,Arizona,Chandler,4870,73
KCMR,SMALL,H.A. Clark Memorial Field,35.305555,-112.194393,North America,United States,Arizona,Williams,5992,4
KDGL,SMALL,Douglas Municipal Airport,31.34259987,-109.5059967,North America,United States,Arizona,Douglas,5760,0
KDMA,MEDIUM,Davis Monthan Air Force Base,32.16650009,-110.8830032,North America,United States,Arizona,Tucson,13643,1241
KDUG,MEDIUM,Bisbee Douglas International Airport,31.46899986,-109.6039963,North America,United States,Arizona,Douglas,7311,0
KDVT,SMALL,Phoenix Deer Valley Airport,33.68830109,-112.0830002,North America,United States,Arizona,Phoenix,8208,165
KE24,SMALL,Whiteriver Airport,33.810175,-109.986555,North America,United States,Arizona,Whiteriver,6288,0
KE25,SMALL,Wickenburg Municipal Airport,33.970172,-112.796043,North America,United States,Arizona,Wickenburg,5050,0
KE51,SMALL,Bagdad Airport,34.592796,-113.171993,North America,United States,Arizona,Bagdad,4575,9
KE63,SMALL,Gila Bend Municipal Airport,32.95809937,-112.6780014,North America,United States,Arizona,Gila Bend,5200,0
KE91,SMALL,Chinle Municipal Airport,36.11090088,-109.5749969,North America,United States,Arizona,Chinle,6900,0
KE95,SMALL,Benson Municipal Airport/Paul Kerchum Field,31.999396,-110.358224,North America,United States,Arizona,Benson,4000,0
KFFZ,SMALL,Falcon Field,33.46080017,-111.7279968,North America,United States,Arizona,Mesa,5101,28
KFHU,MEDIUM,Sierra Vista Municipal Airport / Libby Army Air Field,31.587383,-110.348225,North America,United States,Arizona,Sierra Vista,12001,89
KFLG,MEDIUM,Flagstaff Pulliam International Airport,35.1385,-111.670998,North America,United States,Arizona,Flagstaff,6999,73992
KGCN,MEDIUM,Grand Canyon National Park Airport,35.9524,-112.147003,North America,United States,Arizona,Grand Canyon - Tusayan,8999,142776
KGEU,SMALL,Glendale Municipal Airport,33.52690124511719,-112.2949982,North America,United States,Arizona,Glendale,7099,60
KGBN,SMALL,Gila Bend Air Force Auxiliary Airport,32.887501,-112.720001,North America,United States,Arizona,Gila Bend,8500,0
KGYR,SMALL,Phoenix Goodyear Airport,33.42250061,-112.3759995,North America,United States,Arizona,Goodyear,8500,14
KHII,MEDIUM,Lake Havasu City International Airport,34.571098,-114.358002,North America,United States,Arizona,Lake Havasu City,8001,15
KIFP,MEDIUM,Laughlin Bullhead International Airport,35.157398,-114.559998,North America,United States,Arizona,Bullhead City,7520,73463
KIGM,MEDIUM,Kingman Airport,35.259499,-113.938004,North America,United States,Arizona,Kingman,6826,110
KINW,MEDIUM,Winslow Lindbergh Regional Airport,35.02190018,-110.7229996,North America,United States,Arizona,Winslow,7499,0
KIWA,MEDIUM,Mesa Gateway Airport,33.3078,-111.654999,North America,United States,Arizona,Mesa,10401,964132
KD68,SMALL,Springerville Municipal Airport,34.131101,-109.310255,North America,United States,Arizona,Springerville,8417,0
KLGF,SMALL,Laguna Army Airfield,32.86000061,-114.3970032,North America,United States,Arizona,Yuma Proving Ground,6118,0
KLUF,MEDIUM,Luke Air Force Base,33.535,-112.383003,North America,United States,Arizona,Glendale,10012,0
KMZJ,SMALL,Pinal Airpark,32.51060104,-111.3280029,North America,United States,Arizona,Marana,6849,0
KNYL,MEDIUM,Yuma International Airport / Marine Corps Air Station Yuma,32.650938,-114.609375,North America,United States,Arizona,Yuma,13299,94364
KOLS,MEDIUM,Nogales International Airport,31.4177,-110.848,North America,United States,Arizona,Nogales,7199,0
KP03,SMALL,Cochise College Airport,31.371099,-109.690002,North America,United States,Arizona,Douglas,5303,0
KP04,SMALL,Bisbee Municipal Airport,31.36400032,-109.8830032,North America,United States,Arizona,Bisbee,5929,0
KP08,SMALL,Coolidge Municipal Airport,32.935902,-111.427002,North America,United States,Arizona,Coolidge,5528,0
KP10,SMALL,Polacca Airport,35.79169846,-110.4229965,North America,United States,Arizona,Polacca,4200,0
KP13,SMALL,San Carlos Apache Airport,33.3531,-110.667,North America,United States,Arizona,Globe,6500,7
KP14,SMALL,Holbrook Municipal Airport,34.94070053,-110.1380005,North America,United States,Arizona,Holbrook,6698,0
KP20,SMALL,Avi Suquilla Airport,34.14891,-114.268362,North America,United States,Arizona,Parker,6250,0
KP23,SMALL,Seligman Airport,35.334999,-112.887001,North America,United States,Arizona,Seligman,4800,0
KP33,SMALL,Cochise County Airport,32.245399,-109.894997,North America,United States,Arizona,Willcox,6095,0
KP52,SMALL,Cottonwood Airport,34.73,-112.035004,North America,United States,Arizona,Cottonwood,4250,1
KPAN,SMALL,Payson Airport,34.25680161,-111.3389969,North America,United States,Arizona,Payson,5500,8
